Month,Year,Crime_Category,Subcategory,Cases,Source_File,Page_Number,Table_Number
December,2022.0,Security Cases,Total,2232,crime_31.pdf,14,1
January,2023,Murder,Murder for gain,1,crime_32.pdf,3,1
January,2023,Murder,Other Murders,107,crime_32.pdf,3,1
January,2023,Murder,Total Murder,108,crime_32.pdf,3,1
January,2023,Dacoity,Dacoity Cases,12,crime_32.pdf,4,1
January,2023,Robbery,Chain Snatching,54,crime_32.pdf,5,1
January,2023,Robbery,Robbery (Except Chain Snatching),96,crime_32.pdf,5,1
January,2023,Robbery,Total Robbery,150,crime_32.pdf,5,1
January,2023,Burglary,Burglary Night,372,crime_32.pdf,6,1
January,2023,Burglary,Burglary Day,73,crime_32.pdf,6,1
January,2023,Burglary,Total,445,crime_32.pdf,6,1
January,2023,Theft,Reported,1641,crime_32.pdf,7,1
January,2023,Riots,Riots,279,crime_32.pdf,8,1
January,2023,Hurt,Cases of Hurt,1280,crime_32.pdf,9,1
January,2023,Special & Local Laws,Special & Local Laws,3776,crime_32.pdf,10,1
January,2023,Crime against Women,Rape,30,crime_32.pdf,11,1
January,2023,Crime against Women,Dowry Death,6,crime_32.pdf,11,1
January,2023,POCSO,POCSO,240,crime_32.pdf,12,1
January,2023,SC/ST POA Act,SC/ST POA Act,154,crime_32.pdf,13,1
January,2023,Cyber Crimes,Cyber Crimes,1325,crime_32.pdf,15,1
January,2023,Economic Offences,Economic Offences,559,crime_32.pdf,16,1
January,2023,MMDR & KMMCR,MMDR Act,8,crime_32.pdf,17,1
January,2023,MMDR & KMMCR,KMMC Rules,4,crime_32.pdf,17,1
January,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,901,crime_32.pdf,18,1
January,2023,NDPS Cases,NDPS Cases,362,crime_32.pdf,19,1
February,2023,Murder,Murder for gain,5,crime_33.pdf,3,1
February,2023,Murder,Other Murders,114,crime_33.pdf,3,1
February,2023,Murder,Total Murder,119,crime_33.pdf,3,1
February,2023,Dacoity,Dacoity Cases,16,crime_33.pdf,4,1
February,2023,Robbery,Chain Snatching,49,crime_33.pdf,5,1
February,2023,Robbery,Robbery (Except Chain Snatching),73,crime_33.pdf,5,1
February,2023,Robbery,Total Robbery,122,crime_33.pdf,5,1
February,2023,Burglary,Burglary Night,371,crime_33.pdf,6,1
February,2023,Burglary,Burglary Day,78,crime_33.pdf,6,1
February,2023,Burglary,Total,449,crime_33.pdf,6,1
February,2023,Theft,Reported,1627,crime_33.pdf,7,1
February,2023,Riots,Riots,298,crime_33.pdf,8,1
February,2023,Hurt,Cases of Hurt,1202,crime_33.pdf,9,1
February,2023,Special & Local Laws,Special & Local Laws,4051,crime_33.pdf,10,1
February,2023,Crime against Women,Rape,54,crime_33.pdf,11,1
February,2023,Crime against Women,Dowry Death,9,crime_33.pdf,11,1
February,2023,POCSO,POCSO,210,crime_33.pdf,12,1
February,2023,SC/ST POA Act,SC/ST POA Act,147,crime_33.pdf,13,1
February,2023,Cyber Crimes,Cyber Crimes,1370,crime_33.pdf,15,1
February,2023,Economic Offences,Economic Offences,551,crime_33.pdf,16,1
February,2023,MMDR & KMMCR,MMDR Act,6,crime_33.pdf,17,1
February,2023,MMDR & KMMCR,KMMC Rules,4,crime_33.pdf,17,1
February,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,859,crime_33.pdf,18,1
February,2023,NDPS Cases,NDPS Cases,344,crime_33.pdf,19,1
March,2023,Murder,Murder for gain,0,crime_34.pdf,55,1
March,2023,Murder,Other Murders,112,crime_34.pdf,55,1
March,2023,Murder,Total Murder,112,crime_34.pdf,55,1
March,2023,Dacoity,Dacoity Cases,22,crime_34.pdf,56,1
March,2023,Robbery,Chain Snatching,56,crime_34.pdf,57,1
March,2023,Robbery,Robbery (Except Chain Snatching),83,crime_34.pdf,57,1
March,2023,Robbery,Total Robbery,139,crime_34.pdf,57,1
March,2023,Burglary,Burglary Night,302,crime_34.pdf,58,1
March,2023,Burglary,Burglary Day,84,crime_34.pdf,58,1
March,2023,Burglary,Total,386,crime_34.pdf,58,1
March,2023,Theft,Reported,1656,crime_34.pdf,59,1
March,2023,Riots,Riots,335,crime_34.pdf,60,1
March,2023,Hurt,Cases of Hurt,1488,crime_34.pdf,61,1
March,2023,Special & Local Laws,Special & Local Laws,7369,crime_34.pdf,62,1
March,2023,Crime against Women,Rape,46,crime_34.pdf,63,1
March,2023,Crime against Women,Dowry Death,17,crime_34.pdf,63,1
March,2023,POCSO,POCSO,270,crime_34.pdf,64,1
March,2023,SC/ST POA Act,SC/ST POA Act,158,crime_34.pdf,65,1
March,2023,Cyber Crimes,Cyber Crimes,1615,crime_34.pdf,67,1
March,2023,Economic Offences,Economic Offences,562,crime_34.pdf,68,1
March,2023,MMDR & KMMCR,MMDR Act,10,crime_34.pdf,69,1
March,2023,MMDR & KMMCR,KMMC Rules,5,crime_34.pdf,69,1
March,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,906,crime_34.pdf,70,1
March,2023,NDPS Cases,NDPS Cases,757,crime_34.pdf,71,1
April,2023,Murder,Murder for gain,2,crime_35.pdf,3,1
April,2023,Murder,Other Murders,100,crime_35.pdf,3,1
April,2023,Murder,Total Murder,102,crime_35.pdf,3,1
April,2023,Dacoity,Dacoity Cases,11,crime_35.pdf,4,1
April,2023,Robbery,Chain Snatching,41,crime_35.pdf,5,1
April,2023,Robbery,Robbery (Except Chain Snatching),74,crime_35.pdf,5,1
April,2023,Robbery,Total Robbery,115,crime_35.pdf,5,1
April,2023,Burglary,Burglary Night,269,crime_35.pdf,6,1
April,2023,Burglary,Burglary Day,70,crime_35.pdf,6,1
April,2023,Burglary,Total,339,crime_35.pdf,6,1
April,2023,Theft,Reported,1554,crime_35.pdf,7,1
April,2023,Riots,Riots,294,crime_35.pdf,8,1
April,2023,Hurt,Cases of Hurt,1352,crime_35.pdf,9,1
April,2023,Special & Local Laws,Special & Local Laws,5783,crime_35.pdf,10,1
April,2023,Crime against Women,Rape,46,crime_35.pdf,11,1
April,2023,Crime against Women,Dowry Death,11,crime_35.pdf,11,1
April,2023,POCSO,POCSO,283,crime_35.pdf,12,1
April,2023,SC/ST POA Act,SC/ST POA Act,145,crime_35.pdf,13,1
April,2023,Cyber Crimes,Cyber Crimes,1709,crime_35.pdf,15,1
April,2023,Economic Offences,Economic Offences,465,crime_35.pdf,16,1
April,2023,MMDR & KMMCR,MMDR Act,10,crime_35.pdf,17,1
April,2023,MMDR & KMMCR,KMMC Rules,6,crime_35.pdf,17,1
April,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,878,crime_35.pdf,18,1
April,2023,NDPS Cases,NDPS Cases,470,crime_35.pdf,19,1
