Month,Year,Crime_Category,Subcategory,Cases,Duplicate_Count,Source_Files
January,2024,MMDR & KMMCR,MMDR Act,15,3,crime_18_page_17_table_01.csv | crime_19_page_17_table_01.csv | crime_6_page_17_table_01.csv
April,2024,MMDR & KMMCR,KMMC Rules,5,3,crime_21_page_17_table_01.csv | crime_22_page_17_table_01.csv | crime_9_page_17_table_01.csv
April,2024,MMDR & KMMCR,MMDR Act,5,3,crime_21_page_17_table_01.csv | crime_22_page_17_table_01.csv | crime_9_page_17_table_01.csv
April,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,868,3,crime_21_page_18_table_01.csv | crime_22_page_18_table_01.csv | crime_9_page_18_table_01.csv
April,2024,Murder,Murder for gain,3,3,crime_21_page_03_table_01.csv | crime_22_page_03_table_01.csv | crime_9_page_03_table_01.csv
June,2023,Crime against Women,Dowry Death,9,3,crime_23_page_11_table_01.csv | crime_36_page_11_table_01.csv | crime_37_page_11_table_01.csv
June,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,1288,3,crime_23_page_18_table_01.csv | crime_36_page_18_table_01.csv | crime_37_page_18_table_01.csv
June,2023,Robbery,Chain Snatching,46,3,crime_23_page_05_table_01.csv | crime_36_page_05_table_01.csv | crime_37_page_05_table_01.csv
June,2024,Crime against Women,Dowry Death,10,3,crime_11_page_11_table_01.csv | crime_23_page_11_table_01.csv | crime_24_page_11_table_01.csv
June,2024,MMDR & KMMCR,KMMC Rules,0,3,crime_11_page_17_table_01.csv | crime_23_page_17_table_01.csv | crime_24_page_17_table_01.csv
March,2023,Burglary,Burglary Day,84,3,crime_33_page_06_table_01.csv | crime_34_page_06_table_01.csv | crime_34_page_58_table_01.csv
March,2023,Cyber Crimes,Cyber Crimes,1615,3,crime_33_page_15_table_01.csv | crime_34_page_15_table_01.csv | crime_34_page_67_table_01.csv
March,2023,Dacoity,Dacoity Cases,22,3,crime_20_page_04_table_01.csv | crime_34_page_04_table_01.csv | crime_34_page_56_table_01.csv
April,2025,MMDR & KMMCR,KMMC Rules,0,3,crime_10_page_17_table_01.csv | crime_4_page_17_table_01.csv | crime_9_page_17_table_01.csv
March,2023,MMDR & KMMCR,MMDR Act,10,3,crime_33_page_17_table_01.csv | crime_34_page_17_table_01.csv | crime_34_page_69_table_01.csv
April,2024,NDPS Cases,NDPS Cases,217,3,crime_21_page_19_table_01.csv | crime_22_page_19_table_01.csv | crime_9_page_19_table_01.csv
March,2023,Murder,Other Murders,112,3,crime_20_page_03_table_01.csv | crime_34_page_03_table_01.csv | crime_34_page_55_table_01.csv
March,2023,Murder,Total Murder,112,3,crime_20_page_03_table_01.csv | crime_34_page_03_table_01.csv | crime_34_page_55_table_01.csv
December,2024,Burglary,Burglary Day,94,3,crime_17_page_06_table_01.csv | crime_30_page_06_table_01.csv | crime_6_page_06_table_01.csv
March,2023,Robbery,Chain Snatching,56,3,crime_33_page_05_table_01.csv | crime_34_page_05_table_01.csv | crime_34_page_57_table_01.csv
March,2023,Robbery,Robbery (Except Chain Snatching),83,3,crime_33_page_05_table_01.csv | crime_34_page_05_table_01.csv | crime_34_page_57_table_01.csv
March,2023,Robbery,Total Robbery,139,3,crime_33_page_05_table_01.csv | crime_34_page_05_table_01.csv | crime_34_page_57_table_01.csv
March,2024,Burglary,Burglary Day,80,3,crime_20_page_06_table_01.csv | crime_21_page_06_table_01.csv | crime_8_page_06_table_01.csv
