Month,Year,Crime_Category,Subcategory,Old_Cases,New_Cases,Kept_Source_File,Removed_Source_File,Resolution_Reason
October,2023,Crime against Women,Dowry Death,14 | 13,14,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,POCSO,POCSO,307 | 263,285,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,SC/ST POA Act,SC/ST POA Act,207 | 203,204,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Cyber Crimes,Cyber Crimes,2129 | 2123,2126,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Economic Offences,Economic Offences,701 | 703,701,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,1225 | 1220,1222,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,NDPS Cases,NDPS Cases,225 | 224,224,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
November,2023,Murder,Murder for gain,4,5,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Murder,Other Murders,92,89,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Murder,Total Murder,96,94,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Robbery,Chain Snatching,54,53,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Robbery,Robbery (Except Chain Snatching),102,105,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Robbery,Total Robbery,156,158,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Theft,Reported,2108,2119,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Riots,Riots,293,284,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
